month,commodity_name,avg_modal_price
2012-02-01,sugarcane,748.26
2012-02-01,groundnut,3816.12
2012-02-01,coffee,11056.32
2012-02-01,rice,1976.29
2012-02-01,tea,13245.16
2012-02-01,maize,1108.48
2012-02-01,sugar,3147.71
2012-02-01,jowar(sorghum),1636.57
2012-02-01,cotton,4036.41
2012-02-01,turmeric,5232.79
2012-02-01,coconut,3489.51
2012-03-01,sugar,3115.41
2012-03-01,coconut,3433.51
2012-03-01,barley (jau),1171.7
2012-03-01,millets,900.0
2012-03-01,cotton,3785.94
2012-03-01,groundnut,4014.14
2012-03-01,rice,2023.86
2012-03-01,maize,1115.02
2012-03-01,coffee,11360.42
2012-03-01,ginger(dry),2115.58
2012-03-01,jowar(sorghum),1634.29
2012-03-01,turmeric,4763.7
2012-03-01,wheat,1247.21
2012-03-01,sugarcane,548.24
2012-03-01,sunflower,2914.94
2012-03-01,tea,13591.34
2012-04-01,jowar(sorghum),1589.39
2012-04-01,coconut,3566.62
2012-04-01,sugarcane,576.25
2012-04-01,sugar,3111.81
2012-04-01,millets,4621.43
2012-04-01,barley (jau),1289.47
2012-04-01,sunflower,2970.9
2012-04-01,groundnut,4022.63
2012-04-01,maize,1122.4
2012-04-01,cotton,3715.29
2012-04-01,coffee,11607.69
2012-04-01,rice,2016.18
2012-04-01,wheat,1288.67
2012-04-01,turmeric,4138.88
2012-04-01,tea,14947.25
2012-04-01,ginger(dry),2043.11
2012-05-01,jowar(sorghum),1533.72
2012-05-01,sugar,3151.37
2012-05-01,groundnut,4114.46
2012-05-01,cotton,3702.21
2012-05-01,turmeric,4023.34
2012-05-01,ginger(dry),2151.64
2012-05-01,coffee,12680.16
2012-05-01,barley (jau),1224.34
2012-05-01,tea,15414.55
2012-05-01,millets,1050.0
2012-05-01,sugarcane,430.0
2012-05-01,coconut,3116.03
2012-05-01,rice,2063.41
2012-05-01,sunflower,2986.44
2012-05-01,wheat,1292.99
2012-05-01,maize,1080.98
2012-06-01,turmeric,3983.44
2012-06-01,maize,1072.7
